url_length,at_symbol,sensitive_words_count,path_length,isHttps,nb_dots,nb_hyphens,nb_and,nb_or,nb_www,nb_com,nb_underscore,target,y_true,score,y_pred,action
73,0,1,48,1,9,0,0,0,2,1,0,1,1,0.9969901295708007,1,BLOCK
24,0,0,1,1,2,0,0,0,1,1,0,0,1,0.9999999664536476,1,BLOCK
32,0,0,0,1,2,0,0,0,0,0,0,0,1,0.9998004515321444,1,BLOCK
51,0,0,7,0,6,0,0,0,0,1,0,0,1,0.9999999996524043,1,BLOCK
74,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
73,0,2,49,0,7,0,0,1,0,1,0,0,1,0.9999999665773684,1,BLOCK
74,0,0,54,0,4,0,0,0,0,1,0,1,0,0.0001030091472025726,0,ALLOW
35,0,0,1,1,2,0,0,0,0,1,0,1,1,0.9999823626768475,1,BLOCK
26,0,0,0,0,1,0,0,0,0,0,0,0,1,0.9999999999482914,1,BLOCK
73,0,0,37,0,5,3,0,0,0,1,0,1,1,0.9999999804690923,1,BLOCK
17,0,0,0,1,0,0,0,0,0,0,1,1,0,0.9999584695286187,1,BLOCK
73,0,0,0,0,5,4,0,0,0,0,0,0,0,0.15998475618149133,0,ALLOW
74,0,1,22,1,8,0,0,0,0,1,0,1,0,5.601384952062302e-08,0,ALLOW
24,0,0,0,1,3,0,0,0,1,0,0,0,1,0.9999937545994104,1,BLOCK
37,0,0,0,0,2,0,0,1,1,0,0,0,1,0.9999999999003251,1,BLOCK
73,0,0,47,0,5,0,0,0,0,1,0,0,1,0.9999999935165111,1,BLOCK
70,0,0,46,1,5,0,0,0,1,1,0,1,0,0.00011512026593144028,0,ALLOW
26,0,0,6,0,1,0,0,0,0,1,0,0,1,0.9999990485595107,1,BLOCK
74,0,1,22,1,8,0,0,0,0,1,0,1,0,5.601384952062302e-08,0,ALLOW
69,0,0,0,1,5,4,0,1,0,1,0,1,1,0.9999909967287981,1,BLOCK
73,0,1,0,0,7,0,0,0,0,0,3,0,1,0.9999997283080334,1,BLOCK
51,0,0,0,0,4,3,0,0,0,0,0,1,0,0.006132343352893786,0,ALLOW
43,0,0,15,0,2,1,0,0,0,1,0,0,1,0.9999999995097766,1,BLOCK
74,0,0,45,0,5,1,0,0,0,1,0,1,0,0.0001691011566629344,0,ALLOW
73,0,0,49,0,5,0,0,0,1,1,3,0,1,0.9999999883679768,1,BLOCK
73,0,0,55,0,4,5,0,0,0,1,0,0,1,0.9999998647238376,1,BLOCK
61,0,0,33,0,5,0,0,0,0,1,0,1,1,0.008689970966497573,0,ALLOW
55,0,0,0,1,9,0,0,1,0,0,0,0,1,0.8658568125822219,1,BLOCK
24,0,0,0,0,1,0,0,1,0,0,0,0,1,0.9999999999987772,1,BLOCK
73,0,0,0,0,4,0,0,0,0,0,0,1,1,0.9999951252858565,1,BLOCK
74,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
34,0,0,10,0,2,0,0,0,0,1,0,1,1,0.013218869948711402,0,ALLOW
54,0,0,0,0,5,2,0,1,0,0,0,0,1,0.9999999263620126,1,BLOCK
73,0,0,48,0,7,1,0,0,0,1,0,0,1,0.9999999989482975,1,BLOCK
75,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
73,0,0,47,0,5,0,0,0,0,1,0,0,1,0.9999999935165111,1,BLOCK
16,0,0,0,0,1,0,0,0,0,0,0,0,1,0.9999999289904636,1,BLOCK
73,0,1,0,0,4,1,0,0,0,0,0,1,1,0.999803799802306,1,BLOCK
73,0,1,23,0,7,0,0,0,0,2,0,1,1,0.9999989536674706,1,BLOCK
53,0,0,30,0,5,0,0,0,1,1,0,0,1,0.9999988405819611,1,BLOCK
73,0,0,49,0,4,0,0,0,0,1,0,1,1,0.9999999122463245,1,BLOCK
74,0,1,22,1,8,0,0,0,0,1,0,1,0,5.601384952062302e-08,0,ALLOW
74,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
74,0,0,0,1,5,0,0,0,0,0,0,1,0,2.929563619672158e-06,0,ALLOW
54,0,0,0,0,5,2,0,0,0,0,0,0,1,0.999999888598162,1,BLOCK
42,0,0,20,0,2,0,0,0,1,1,0,0,1,0.99999999306929,1,BLOCK
74,0,1,22,1,8,0,0,0,0,1,0,1,0,5.601384952062302e-08,0,ALLOW
44,0,0,1,1,4,1,0,0,0,1,0,0,1,0.99999999663581,1,BLOCK
73,0,0,29,0,6,2,0,0,0,2,0,0,1,0.9999995890815624,1,BLOCK
21,0,0,0,0,2,0,0,0,0,0,0,0,1,0.99999567972029,1,BLOCK
73,0,0,27,0,7,0,0,0,0,1,0,0,1,0.9999999697183124,1,BLOCK
75,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
75,0,0,0,1,5,0,0,0,0,0,0,1,0,2.929563619672158e-06,0,ALLOW
73,0,0,55,0,4,4,0,0,0,1,0,0,1,0.9998359002434031,1,BLOCK
74,0,1,0,0,8,0,0,0,0,0,0,1,0,5.94226855258818e-05,0,ALLOW
62,0,0,41,1,6,2,0,1,0,1,0,0,1,0.9999999989258552,1,BLOCK
73,0,0,52,0,5,1,0,1,0,1,0,0,1,0.9999997862810411,1,BLOCK
69,0,0,0,1,5,4,0,1,0,0,0,1,1,0.9999817507097502,1,BLOCK
35,0,0,0,0,2,0,0,0,0,0,0,0,1,0.9999999991696289,1,BLOCK
23,0,0,1,0,2,0,0,0,1,1,0,0,1,0.9999999965247437,1,BLOCK
72,0,0,45,1,6,0,0,0,0,1,0,0,1,0.9999773493188105,1,BLOCK
23,0,0,0,0,2,0,0,0,0,0,0,0,1,0.9999997572265512,1,BLOCK
73,0,0,52,0,5,0,0,0,0,1,0,0,1,0.9998792923115526,1,BLOCK
73,0,0,0,1,5,0,0,0,0,0,0,1,1,0.9999914929145316,1,BLOCK
74,0,1,0,0,8,1,0,1,0,0,0,1,0,2.3964343585379728e-05,0,ALLOW
75,0,0,0,1,5,0,0,0,0,0,0,1,0,2.929563619672158e-06,0,ALLOW
34,0,0,0,0,1,0,0,1,0,0,0,0,1,0.999999999844619,1,BLOCK
75,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
67,0,0,38,0,5,1,0,0,0,1,0,1,1,0.9997598733328037,1,BLOCK
74,0,0,0,1,5,0,0,0,0,0,0,1,0,2.929563619672158e-06,0,ALLOW
75,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
75,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
33,0,0,1,0,2,0,0,0,0,1,0,0,1,0.999999437402811,1,BLOCK
25,0,0,1,1,2,0,0,0,0,1,0,1,1,0.9933666532358507,1,BLOCK
73,0,0,45,0,5,0,0,0,0,1,0,0,1,0.9999999960393648,1,BLOCK
73,0,0,0,0,5,3,0,0,0,0,0,1,1,0.9999646021146947,1,BLOCK
25,0,0,1,1,2,0,0,0,1,1,0,0,1,0.999994836900149,1,BLOCK
74,0,1,22,1,8,0,0,0,0,1,0,1,0,5.601384952062302e-08,0,ALLOW
73,0,0,44,0,6,0,0,0,0,1,0,0,1,0.9999999570094137,1,BLOCK
72,0,0,48,0,5,2,0,0,0,1,0,0,1,0.9999999916097077,1,BLOCK
73,0,0,51,0,5,0,0,0,0,1,1,0,1,0.9999999915471544,1,BLOCK
73,0,0,0,1,5,2,0,1,0,0,2,0,1,0.999951615325476,1,BLOCK
73,0,0,49,0,5,1,0,0,1,1,0,0,1,0.9999999969906057,1,BLOCK
22,0,0,0,0,3,0,0,0,1,0,0,0,1,0.9999999916588288,1,BLOCK
23,0,0,1,1,2,0,0,0,1,1,0,1,1,0.9999584666624809,1,BLOCK
60,0,0,38,0,4,3,0,0,0,1,0,0,1,0.9999999951677332,1,BLOCK
19,0,0,0,0,2,0,0,0,1,0,0,0,1,0.9999968294439991,1,BLOCK
73,0,1,0,0,5,10,0,0,0,0,0,1,1,0.9990995513380604,1,BLOCK
22,0,0,0,0,2,0,0,0,1,0,0,0,1,0.9999999905319973,1,BLOCK
24,0,0,1,0,2,0,0,0,1,1,0,0,1,0.9999999999893365,1,BLOCK
54,0,1,29,0,6,0,0,0,0,1,0,1,1,0.0013129831089486808,0,ALLOW
43,0,0,20,0,2,0,0,0,1,1,0,0,1,0.9999999989494897,1,BLOCK
73,0,0,49,0,4,0,1,1,0,1,0,1,1,0.9999999676603165,1,BLOCK
69,0,1,0,0,8,0,0,0,0,0,0,1,0,0.9932039658529092,1,BLOCK
73,0,0,44,0,7,0,0,1,0,1,0,0,1,0.999999994132684,1,BLOCK
24,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0001933721962172905,0,ALLOW
73,0,1,47,0,4,0,0,0,0,1,0,1,1,0.999245355239693,1,BLOCK
43,0,0,0,0,1,0,0,1,0,0,0,0,1,0.9999952910271905,1,BLOCK
73,0,0,44,0,5,2,0,0,1,1,0,0,1,0.9999999900815847,1,BLOCK
56,0,0,0,0,5,0,0,0,0,0,0,0,1,0.9999999942560167,1,BLOCK
50,0,0,0,0,6,0,0,1,1,0,0,0,1,0.9999988604348052,1,BLOCK
75,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
63,0,0,40,0,7,0,0,1,0,2,0,0,1,0.9999998080809556,1,BLOCK
19,0,0,0,1,1,0,0,0,0,0,0,1,1,0.9987502315981424,1,BLOCK
74,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
67,0,0,0,1,6,3,0,2,1,0,0,1,1,0.9947516705553755,1,BLOCK
38,0,0,9,0,4,0,0,0,1,1,0,1,1,0.9999939273312596,1,BLOCK
74,0,1,22,1,8,0,0,1,0,1,0,1,0,7.513203704581843e-07,0,ALLOW
26,0,0,5,1,1,0,0,0,0,1,0,0,1,0.9999653018182,1,BLOCK
35,0,0,0,0,2,0,0,1,0,0,0,0,1,0.9999999999943181,1,BLOCK
35,0,0,1,0,2,0,0,0,1,1,0,0,1,0.9999999999226612,1,BLOCK
24,0,0,1,0,1,0,0,1,0,1,0,1,0,0.9999999997735058,1,BLOCK
40,0,0,0,1,2,0,0,0,0,0,0,0,1,0.9999999607861547,1,BLOCK
63,0,0,0,1,5,6,0,1,0,1,0,1,1,0.9975229562951118,1,BLOCK
74,0,1,47,0,8,0,0,0,1,1,0,1,0,1.8622596992768648e-06,0,ALLOW
73,0,0,50,1,5,4,0,0,1,1,0,0,1,0.9999996655416621,1,BLOCK
69,0,0,0,0,6,0,0,0,0,0,0,1,1,0.9998931674032374,1,BLOCK
29,0,0,0,0,1,0,0,0,0,0,0,0,1,0.9999999977325744,1,BLOCK
75,0,0,0,1,5,0,0,0,0,0,0,1,0,2.929563619672158e-06,0,ALLOW
73,0,0,34,0,6,2,0,0,1,1,0,0,1,0.9999995590345702,1,BLOCK
73,0,0,53,0,5,0,0,0,1,1,0,0,1,0.999376871918617,1,BLOCK
26,0,0,2,1,2,0,0,0,1,1,0,1,0,6.012862066521952e-05,0,ALLOW
59,0,0,0,0,5,2,0,2,1,0,0,0,1,0.9999964920395693,1,BLOCK
35,0,0,4,0,2,0,0,0,1,1,0,1,0,0.2432270968364687,0,ALLOW
65,0,0,42,0,8,0,1,0,0,1,0,0,1,0.9999999371539501,1,BLOCK
74,0,0,0,1,5,0,0,0,0,0,0,1,0,2.929563619672158e-06,0,ALLOW
69,0,0,47,0,5,0,0,0,0,1,1,0,1,0.9999999996573397,1,BLOCK
74,0,0,47,0,5,0,0,1,0,1,0,1,0,3.4090650826921304e-06,0,ALLOW
74,0,0,0,1,5,0,0,0,0,0,1,1,0,4.938308929037369e-06,0,ALLOW
37,0,0,19,0,2,1,0,0,1,1,0,0,1,0.999999999777408,1,BLOCK
23,0,0,0,0,1,1,0,0,0,1,0,1,1,0.07681312475057085,0,ALLOW
74,0,0,0,1,5,1,0,0,0,0,1,1,0,4.889302047905676e-06,0,ALLOW
75,0,1,26,1,9,0,0,0,0,1,0,1,0,4.004544153977602e-08,0,ALLOW
21,0,0,2,0,1,0,0,0,0,1,0,1,1,0.9993213634655765,1,BLOCK
31,0,0,1,0,2,1,0,0,1,1,0,0,1,0.9999999999045297,1,BLOCK
73,0,0,0,1,5,0,0,0,0,0,0,1,1,0.9999914929145316,1,BLOCK
73,0,0,53,0,4,3,0,0,0,1,0,1,1,0.9999951295250455,1,BLOCK
73,0,0,0,1,5,0,0,0,0,0,1,1,1,0.9999940535512407,1,BLOCK
73,0,0,50,0,4,6,0,0,0,1,0,0,1,0.9999999995139153,1,BLOCK
74,0,1,22,1,8,0,0,0,0,1,0,1,0,5.601384952062302e-08,0,ALLOW
49,0,0,3,0,7,1,0,0,0,1,0,1,0,0.9999777122042974,1,BLOCK
73,0,0,0,1,5,0,0,0,0,0,0,0,1,0.9986250117666722,1,BLOCK
22,0,0,0,0,1,0,0,0,0,0,0,1,1,0.9996996385702771,1,BLOCK
49,0,0,14,0,5,1,0,0,0,1,0,1,1,0.9999986865614928,1,BLOCK
57,0,0,0,1,5,0,0,0,1,0,1,1,1,0.014438311705348117,0,ALLOW
66,0,1,17,1,9,0,0,0,0,1,0,1,0,2.0295495868892108e-07,0,ALLOW
73,0,0,49,0,5,0,0,0,1,1,3,0,1,0.9999999883679768,1,BLOCK
43,0,0,0,1,2,2,0,0,0,0,0,0,1,0.9999998678527305,1,BLOCK
74,0,1,22,1,8,0,0,0,0,1,0,1,0,5.601384952062302e-08,0,ALLOW
43,0,0,1,0,2,2,0,0,0,1,0,0,1,0.9999999882828058,1,BLOCK
24,0,0,1,0,2,0,0,0,0,1,0,0,1,0.9999999999921139,1,BLOCK
75,0,0,0,1,5,0,0,0,0,0,1,1,0,4.938308929037369e-06,0,ALLOW
73,0,0,50,0,5,0,0,1,0,1,0,0,1,0.9999999992438366,1,BLOCK
